,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
133,1.328134208,3.274440765,-6.13244751,0.4872367859,6.968950744,0
134,1.338107208,2.699486389,-6.339167633,-0.4215234375,6.902894687,0
135,1.348079208,2.052831116,-6.512956238,-1.135239258,6.922534414,0
136,1.358052208,1.678010559,-6.574478302,-1.753453674,7.008144131,0
137,1.368025208,1.342258759,-6.214626617,-2.115401001,6.700609223,0
138,1.377997208,0.8497828674,-5.601052551,-2.292482758,6.111415368,0
139,1.387970208,0.4388873291,-5.151986389,-2.268532562,5.646399368,0
140,1.397942208,0.2317181396,-4.79153595,-2.170187073,5.265189644,0
141,1.407915208,0.2466870117,-4.430636444,-2.354753265,5.023570117,0
142,1.417888208,0.489332428,-4.163442078,-2.653831329,4.96150349,0
143,1.427860208,0.8367599487,-4.02393219,-2.724783783,4.931190946,0
144,1.437833208,0.9728269958,-3.883673859,-2.932851105,4.962955834,0
145,1.447806208,0.6791377258,-3.788322144,-3.407963104,5.140702796,0
146,1.457778208,-0.09490264893,-3.630250854,-3.848497009,5.29137572,0
147,1.467751208,-0.6400689697,-3.288212128,-4.074377289,5.274711137,0
148,1.477723208,-0.9535171509,-2.990481262,-4.339925079,5.356036112,0
149,1.487696208,-1.267414398,-2.834505615,-4.556374969,5.513738677,0
150,1.497669208,-1.335373077,-2.80591507,-4.47210022,5.445737876,0
151,1.507641208,-1.081650696,-2.692451019,-3.927682343,4.883231441,0
152,1.517614208,-0.6312373352,-2.229763184,-4.149670715,4.752901374,0
153,1.527586208,0.2290237427,-1.834285583,-4.214934998,4.602470262,0
154,1.537559208,1.566043396,-1.614392853,-4.63705719,5.153741901,0
155,1.547532208,3.492387543,-1.386716309,-5.12025238,6.351120949,0
156,1.557504208,5.274880829,-0.6821315002,-5.004093933,7.302782157,0
157,1.567477208,7.037465515,1.634002075,-4.790488129,8.668601973,0
158,1.577450208,9.53038147,5.485043793,-4.735252991,11.97232213,0
159,1.587422208,12.76979507,9.540260925,-4.021237793,16.43942207,0
160,1.597395208,16.90644287,12.65573227,-3.070564728,21.34065926,0
161,1.607367208,22.30511627,14.38957672,-2.855312347,26.69702116,0
162,1.617340208,28.80998932,15.29130157,-3.360661469,32.78922741,0
163,1.627313208,34.58767456,15.73752365,-4.557572479,38.2720309,0
164,1.637285208,37.23955994,15.74800186,-5.786666565,40.84445981,0
165,1.647258208,36.85695557,15.3573143,-6.686445465,40.4844517,0
166,1.657231208,34.01301956,14.81154922,-7.607779541,37.8701175,0
167,1.667203208,29.45170486,13.67271744,-7.918233948,33.42221642,0
168,1.677176208,24.42605576,11.80894318,-7.205865326,28.07147723,0
169,1.687148208,19.51072723,10.10892838,-6.026168518,22.78538165,0
170,1.697121208,15.01871841,8.777746582,-4.426744537,17.95011992,0
171,1.707094208,11.273806,7.677384796,-2.75666748,13.91546459,0
172,1.717066208,8.376580811,6.732848969,-1.317709808,10.82749835,0
173,1.727039208,6.130800934,5.888903961,-0.1448986816,8.502170639,0
174,1.737012208,4.341421967,5.177732849,0.8740324402,6.81328077,0
175,1.746984208,2.775977325,4.645589447,1.66274231,5.661471841,0
176,1.756957208,1.197659454,4.24502243,2.227667542,4.941366843,0
177,1.766929208,-0.3230282593,3.987258453,2.502645721,4.718666426,0
178,1.776902208,-1.606459351,3.765120392,2.563419342,4.829902891,0
179,1.786875208,-2.571203156,3.552712097,2.470612335,5.033564763,0
180,1.796847208,-3.324436798,3.368594971,2.313738556,5.268082973,0
181,1.806820208,-4.034859467,3.251089325,2.134710846,5.6041648,0
182,1.816792208,-4.585713959,3.16157547,1.934577026,5.896348042,0
183,1.826765208,-4.818779297,2.981799316,1.773661652,5.937814137,0
184,1.836737458,-4.776417389,2.72164032,1.65570694,5.741328642,0
185,1.846709458,-4.486021271,2.44082428,1.715283051,5.387411804,0
186,1.856682458,-4.054319,2.089504852,2.029928741,4.992408615,0
187,1.866655458,-3.422931976,1.687590637,2.573747864,4.60310803,0
188,1.876627458,-2.700833588,1.206042023,3.282973022,4.418931013,0
189,1.886600458,-1.937570801,0.8238867188,3.93845993,4.465919453,0
190,1.896572458,-1.142873383,0.7448510742,4.151167603,4.369571507,0
191,1.906545458,-0.3872447205,0.9514215088,3.582051086,3.726426082,0
192,1.916518458,0.3203338623,1.273401947,2.680775299,2.985083333,0
193,1.926490458,1.062939606,1.709145813,2.04414917,2.868721988,0
194,1.936463458,1.680555267,2.3927742,1.366957397,3.227724726,0
195,1.946435458,2.032922516,3.53714447,0.4125421143,4.10053118,0
196,1.956408458,2.184407501,5.222639465,-0.7957452393,5.716713182,0
197,1.966381458,2.400707703,7.31184494,-2.041903839,7.962150789,0
198,1.976353458,3.111579437,9.984537048,-3.220552826,10.94279979,0
199,1.986326458,4.786596222,14.24243271,-4.401746521,15.65674823,0
200,1.996299458,8.542286224,19.07213928,-4.127666473,21.30152063,0
201,2.006271458,13.87838974,22.82738022,-2.133513336,26.80020277,0
202,2.016244458,21.17197266,24.98439468,0.9915380859,32.76363154,0
203,2.026216458,30.54847412,24.24657898,3.721860352,39.17854142,0
204,2.036189458,38.47539001,22.76510971,2.983445892,44.80520959,0
205,2.046162458,41.50149719,21.69603287,0.7153623962,46.83592483,0
206,2.056134458,39.68277924,20.17983582,0.1347198486,44.51928673,0
207,2.066107458,34.86654465,18.01728287,0.6164181519,39.25147626,0
208,2.076080458,29.20007812,15.13951721,0.07649093628,32.89157027,0
209,2.086052458,23.89496017,11.36346954,-0.5560935974,26.46519983,0
210,2.096025458,19.12393158,7.492369537,-0.2052232361,20.54026477,0
211,2.105997458,14.78041397,4.661755829,0.4056564331,15.50345644,0
212,2.115970458,11.21348145,2.757116547,1.287622375,11.61902875,0
213,2.125943458,8.585246887,1.353186035,2.468666382,9.035036816,0
214,2.135915458,6.562503204,0.4029620361,3.48220871,7.440067487,0
215,2.145888458,5.134772186,-0.1954934692,3.978426819,6.498613933,0
216,2.155860458,4.001478882,-0.9333091736,3.84370697,5.626453815,0
217,2.165833458,3.079246674,-1.914818115,3.291954346,4.897474033,0
218,2.175806458,2.162852325,-2.990630951,2.630479889,4.532243166,0
219,2.185778458,1.4239888,-4.093537445,1.842817841,4.709646538,0
220,2.195751458,0.7863148499,-5.184169464,0.7753875732,5.300483937,0
221,2.205724458,0.2297721863,-6.03649704,-0.2311193848,6.045288077,0
222,2.215696458,-0.05224136353,-6.609655151,-1.289268951,6.734425351,0
223,2.225669458,-0.2233355713,-7.080575867,-2.510130157,7.515662764,0
224,2.235641458,-0.7670050049,-7.135062561,-3.581152954,8.020104171,0
225,2.245614458,-1.625918884,-6.391708374,-4.164489899,7.800033607,0
226,2.255587458,-2.164798279,-5.141208801,-4.512516174,7.175038798,0
227,2.265559458,-2.373164978,-4.273014221,-4.583768005,6.700857533,0
228,2.275532458,-2.42795105,-4.058210907,-4.308191071,6.397228491,0
229,2.285504458,-2.258503418,-4.213887177,-3.936513977,6.193046513,0
230,2.295477458,-1.922601929,-4.476890259,-3.586541748,6.049977378,0
231,2.305450458,-1.457219696,-4.785997467,-3.16397049,5.919456922,0
232,2.315422458,-0.886456604,-5.134472809,-2.815644836,5.922539335,0
