,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
7301,26.71127479,-15.65982819,-0.6990033388,0.5386841893,15.68467421,0
7302,26.72313953,-13.57209015,-0.07417750359,1.273579836,13.63191619,0
7303,26.73500427,-11.31924725,0.2440679073,1.649552107,11.44141379,0
7304,26.74686901,-11.79332542,-0.2536391914,1.630409479,11.90819434,0
7305,26.7587337,-11.42692471,-0.4764707983,1.120439172,11.49160635,0
7306,26.77059844,-9.937990189,-0.1076770201,0.3903291821,9.946235479,0
7307,26.78246318,-9.870991707,-0.09810572863,-13.87627792,17.02930389,0
7308,26.79432787,-5.573482037,-0.2416750938,-11.20439243,12.51640997,0
7309,26.80619261,-6.054738522,0.3520440459,-4.896014214,7.794533261,0
7310,26.81805734,-5.367699623,0.789930582,-3.260818958,6.330018155,0
7311,26.82992208,-4.206283092,0.818644464,-4.963013172,6.557018832,0
7312,26.84178677,-3.516851187,0.9649057388,-4.951049328,6.149160496,0
7313,26.85365151,-2.999702215,0.8931210637,-4.42672205,5.421415564,0
7314,26.86551625,-2.255235434,0.7851449251,-3.607778311,4.326500174,0
7315,26.87738094,-2.092523336,0.5650052428,-3.165106058,3.836115378,0
7316,26.88924568,-1.838585138,0.2368894368,-3.390031576,3.863783897,0
7317,26.90111042,-2.013560295,-0.08135596663,-3.492922783,4.032561645,0
7318,26.9129751,-2.092523336,-0.304187566,-3.093321562,3.746975083,0
7319,26.92483984,-2.461018085,-0.4668995142,-2.915953398,3.844137015,0
7320,26.93670458,-2.793919563,-0.4501497746,-2.717349291,3.923341499,0
7321,26.94856932,-3.691826344,-0.7731808424,-2.781955481,4.686861067,0
7322,26.96043401,-4.235296249,-0.9002995491,-2.705385208,5.105622658,0
7323,26.97229875,-5.95902586,-1.67587316,-3.114856958,6.929709512,0
7324,26.98416349,-7.103393078,-1.97527504,-3.418745279,8.126975082,0
7325,26.99602818,-7.546065331,-2.056631088,-4.172783375,8.864815537,0
7326,27.00789292,-9.087940216,-2.200200319,-5.365306377,10.78044764,0
7327,27.01975766,-10.04806042,-2.425125837,-5.370092392,11.64828939,0
7328,27.03162234,-11.65932751,-2.748456001,-7.730611801,14.25679793,0
7329,27.04348708,-12.56411362,-3.394817114,-10.37827015,16.64602732,0
7330,27.05535182,-12.75583839,-4.196712017,-10.72074318,17.18307712,0
7331,27.06721651,-11.99910831,-5.022833824,-11.32403278,17.24648307,0
7332,27.07908125,-11.46281719,-4.474578381,-10.80927753,16.37859916,0
7333,27.09094599,-10.22512913,-3.85932374,-8.98026371,14.14541557,0
7334,27.10281068,-9.150154114,-3.380460262,-7.867002487,12.5316623,0
7335,27.11467542,-8.355437279,-2.688635349,-7.280461788,11.40382462,0
7336,27.1265401,-7.735397339,-2.238485575,-7.543672562,11.0342279,0
7337,27.13840484,-7.435995579,-1.90079844,-7.957930088,11.05602624,0
7338,27.15026958,-7.565207958,-1.742872238,-8.853444099,11.77511985,0
7339,27.16213432,-8.228617668,-1.819442511,-9.648159981,12.81044538,0
7340,27.17399901,-8.90130043,-1.97527504,-9.933204651,13.48344969,0
7341,27.18586375,-9.245866776,-1.714158297,-10.2347002,13.89868625,0
7342,27.19772844,-9.013762474,-1.005583763,-9.724730492,13.29772521,0
7343,27.20959318,-8.798408508,-0.2608176768,-8.705088615,12.37976518,0
7344,27.22145792,-9.05922699,0.3161516786,-6.234200478,11.00158176,0
7345,27.2333226,-9.75583744,0.5027918816,-5.494519234,11.207984,0
7346,27.24518734,-10.85234833,1.082154036,-5.578267574,12.24996289,0
7347,27.25705208,-12.95683575,1.924726725,-5.633302689,14.25897138,0
7348,27.26891677,-17.0171566,3.583850145,-4.153641224,17.87960671,0
7349,27.28078151,-18.08973885,5.180759907,-2.889632463,19.03756551,0
7350,27.2926462,-18.02273941,6.02363205,-3.80907464,19.38072054,0
7351,27.30451094,-15.72682667,7.385746002,-3.626920938,17.7492782,0
7352,27.31637568,-13.71805191,6.763313293,-0.8114659786,15.31619509,0
7353,27.32824037,-11.27856922,5.568696499,1.862513304,12.71555977,0
7354,27.34010511,-9.518947601,3.902394533,2.384447813,10.56052262,0
7355,27.35196979,-7.838288784,2.451446772,1.924726725,8.435219932,0
7356,27.36383453,-6.289235115,1.309472203,1.072582722,6.513035351,0
7357,27.37569927,-6.5790658,0.09092725813,-7.246962547,9.788301218,0
7358,27.38756396,-4.045963764,-0.8859425783,-15.20489216,15.75891692,0
7359,27.3994287,-3.64127779,-0.7540382147,-5.621338367,6.739949749,0
7360,27.41129344,-3.785146236,-0.3376871049,-2.092523336,4.338204528,0
7361,27.42315813,-3.626920938,-0.6870391965,-3.62452817,5.173372479,0
7362,27.43502286,-2.932703257,-0.6104688644,-3.694219112,4.756119792,0
7363,27.44688755,-2.679064035,-0.4716851711,-3.054737091,4.090389921,0
7364,27.45875229,-2.669492722,-0.3807578981,-2.475374937,3.660416513,0
7365,27.47061698,-2.789133787,-0.2512463629,-2.111665964,3.507353014,0
7366,27.48248172,-2.71974206,-0.002392822644,-2.14995122,3.466885179,0
7367,27.49434646,-2.724527597,0.2775674164,-2.26241374,3.552268322,0
7368,27.50621115,-3.052344322,0.4477569461,-2.496910334,3.968860461,0
7369,27.51807589,-3.471387386,0.632004261,-3.07148695,4.678032904,0
7370,27.52994057,-4.091427803,0.5865406394,-3.468994617,5.396085159,0
7371,27.54180531,-4.884049892,0.8715856671,-3.476173162,6.057836642,0
7372,27.55367005,-5.750551224,1.247258782,-4.800301552,7.593904716,0
7373,27.56553474,-6.851847649,1.388435364,-5.456233978,8.868261283,0
7374,27.57739948,-7.502994537,1.474876046,-6.612565517,10.10921407,0
7375,27.58926417,-8.161619186,1.546660781,-7.71864748,11.33938738,0
7376,27.60112891,-8.95154953,1.855334878,-8.604290962,12.55413595,0
7377,27.61299359,-9.104690552,2.145165443,-10.03848934,13.721093,0
7378,27.62485833,-9.035298347,2.554637194,-11.0943222,14.53433083,0
7379,27.63672307,-8.736195564,2.470589399,-11.73350525,14.83576996,0
7380,27.64858776,-8.341080666,2.097309113,-11.46520996,14.33259822,0
7381,27.6604525,-8.463114738,1.680658817,-9.772586823,13.03657848,0
7382,27.67231719,-9.008976936,1.072582722,-9.020941734,12.79411931,0
7383,27.68418193,-9.473484039,0.5865406394,-8.539685249,12.76781712,0
7384,27.69604662,-9.408877373,0.4310071766,-8.1759758,12.47234224,0
7385,27.70791136,-8.692825317,-0.03110669367,-8.173583031,11.93204254,0
7386,27.71977604,-8.226224899,-0.6918248534,-7.883752346,11.4150317,0
7387,27.73164078,-8.386544228,-0.8548358679,-7.632505894,11.37189583,0
7388,27.74350552,-8.594719887,-0.660718143,-8.927620888,12.41000295,0
7389,27.75537021,-9.150154114,-0.1076770201,-10.11266708,13.63828986,0
7390,27.76723495,-10.11745262,0.5841478109,-11.36710358,15.22875963,0
7391,27.77909964,-11.01535892,1.012762189,-10.78056335,15.44617641,0
7392,27.79096438,-11.36231804,0.7468597889,-8.570791245,14.25196595,0
7393,27.80282906,-11.56122208,0.5003990531,-6.969096184,13.50853644,0
7394,27.8146938,-12.50907898,0.3783650696,-6.399304867,14.05600654,0
7395,27.82655849,-13.46441269,0.2751746178,-4.692325115,14.26127782,0
7396,27.83842323,-15.82014656,0.0933200866,-2.298306227,15.98649297,0
7397,27.85028792,-17.48644829,-0.4405784607,-1.182652593,17.5319323,0
7398,27.86215266,-16.88315773,-0.2273181528,-0.3376871049,16.88806446,0
7399,27.8740174,-15.11396503,0.03589234129,-0.0239282269,15.11402659,0
7400,27.88588208,-12.54497051,0.3496512175,0.8210372925,12.5766706,0
7401,27.89774682,-11.78375435,0.6726822853,1.280758262,11.8722243,0
7402,27.90961151,-11.54447174,0.5099703074,0.332901448,11.56052425,0
7403,27.92147625,-10.77817059,0.2874378264,-7.256533623,12.99649422,0
7404,27.93334094,-8.329116821,0.4334000051,-8.53729248,11.9351324,0
7405,27.94520568,-7.383353233,0.7636095285,-5.860620975,9.457477608,0
7406,27.95707042,-6.329913139,0.8668000102,-5.444269657,8.393998732,0
7407,27.96893511,-4.814658165,0.9337990284,-5.137689114,7.102729285,0
7408,27.98079984,-4.199104786,1.024726272,-4.673182487,6.365624832,0
7409,27.99266453,-3.315854073,1.072582722,-4.050749779,5.343584536,0
7410,28.00452927,-2.999702215,1.144367456,-3.665505171,4.872752653,0
7411,28.01639396,-2.504088879,1.079761267,-3.579064369,4.499560786,0
7412,28.0282587,-2.267199516,0.8042874932,-3.461816072,4.215595158,0
7413,28.04012339,-2.336591244,0.4932205677,-3.425923824,4.176108143,0
7414,28.05198813,-2.607279301,0.1938186288,-3.296711445,4.207585693,0
7415,28.06385286,-2.882453918,-0.0382851623,-3.382853031,4.444513581,0
7416,28.07571755,-3.16032052,-0.2440679073,-3.433102369,4.672620979,0
7417,28.08758229,-4.041178226,-0.6655037999,-3.492922783,5.382799117,0
7418,28.09944698,-4.970191956,-0.902692318,-3.550350666,6.174354326,0
7419,28.11131172,-5.834300041,-1.285543919,-3.732504129,7.044378412,0
